ocr_text,document_type
"v@lid for one year from date of issue
this is to certify that mr/mrs priya nair
issucd by tehsildar office 
",Income Certificate
"dob 25/09/1978
uidai मेरा आधार मेरी पहचान
government of india unique identification authority of india",Aadhaar Card
"government  issued personal identification number for benefits and tax purposes
social security number 838161782470",Social Security Number
"property addrcss 45 mg road bengaluru
utility bill service address 45 mg r0ad bengaluru
residency verification letter
lease agreement between land1ord and ten@nt",Proof of Residency
"c@rtão nacional de saúde
nome do usuário john silva
ministério da saúde
número do cartão 110778",Cartão Nacional de Saúde
"employment  history summary
employer john silva position 300 lakeview ave chicago
work history verification letter
dates of employment 10/02/2014 to 10/02/2014",Work History
"document used to prove current home address for an application
monthly rent 5736.63",Proof of Residency
"disability  type: locomotor/visual/he@ring
medical board assessment
issued by district hospital
udid number 2873671169",Disability Certificate
document used to confirm how old a person is,Age Proof
annual wage statement issued by an employer for tax filing,Proof of Income
"property address 300 lakeview ave chicago
residency verification letter
monthly rent 3392.17
utility bill service address 12 main st springfield
lease agreement between landlord and tenant",Proof of Residency
"brazilian document confirming the tcrmination of an employment contract
trct",Termo de Rescisão
"gender m@lc
address: 300 lakcview ave chicag0
uidai मेरा आधार मेरी पहचान",Aadhaar Card
"valid for onc year from date of issue
certificate of annual income
issued by tehsildar office
income certificate no 32587211",Income Certificate
"earnings  statement
employee id 879470507892
federa1 tax state tax net pay 4295.40
gross earnings 5883.32
pay period ending 15/05/1965 
",Last Pay Stubs
"title deed of ownership
sale deed
registered document no 159526986132 
",Property Documents
"avaliação de deficiênci@
percentual de inc@pacid@de 12%
laudo médico",Medical/Disability Report
paystub listing s@lary breakdown for the pay period,Income Proof
"this card belongs to anita desai
5ocial 5ecurity administration
soci@l security card issued",Social Security Number
brazilian government registry for low-income families secking socia1 programs,CadÚnico Registration
"valid  until 27/06/1992
driving liccnse number 627730146388
identification card issued by department of motor vehicles
passport no 6117138390
ph0to identificati0n document",Government ID
"public distribution systcm
category bpl/apl
rati0n card no 9970444849",Ration Card
"residential  lease agreement
monthly rent due on the first of each month 3324.77
lease term begins 20/06/1975 ends 20/06/1975
security deposit 8666.63
landlord john silva ten@nt john silva",Lease Agreement
"public distribution system
state food civil supplies department
fair price shop",Ration Card
document used to c0nfirm h0w old a person is,Age Proof
"enrolment  no 540947
addrcss: 300 lakevicw ave chicago
gender male
aadhaar no 17222278",Aadhaar Card
"official work permit document used in brazil for formal employment
ctps número 0754576382 série 0754576382 
",Carteira de Trabalho
"paystub listing sal@ry breakdown for the pay period
gross pay 766.51",Income Proof
"data do aviso prévi0 17/01/2011
saldo de salário 4557.81
trct",Termo de Rescisão
"summary of a person's past jobs and employment dates
employer john silva position 45 mg road beng@luru",Work History
annual  wage statement issued by an cmployer for tax filing,Proof of Income
"enrolment no 1447310819
government of india unique idcntification authority of india
gender male",Aadhaar Card
"dob 04/12/1993
enrolment no 20490841
uidai मेरा आधार मेरी पहचान 
",Aadhaar Card
"cartcira de trabalho e previdência s0cial
data de admissão 24/12/2009
ctps número 25373731 5érie 25373731
contrato de trabalho",Carteira de Trabalho
"card showing an individual's social security number
social security number 828609875449",Social Security Number
"card  showing an individual's social security number
social security card issued 
",Social Security Number
"companhi@  de energia elétrica
comprovante de residência
f@tura referente ao mês fevereiro
conta de luz endereço 300 lakevicw ave chicago",Comprovante de Residência
"renda familiar 7922.53
númer0 de identificação social nis 225176
cadastro único para programas sociais
número do cadúnico 717583903058",CadÚnico Registration
"c@dastro de pessoas físicas
receita feder@l do brasi1
data de nascimento 15/10/1994
nome comp1eto john silva
cpf número 36689886",CPF
"d@te of visit 07/06/1964
patient medical record
diagnosis 12 main st springfield
treatment summary dischargc notes
attending physician anita desai 
",Medical Records
"contract  between a landlord and ten@nt for renting a property
landlord james carter tenant james carter",Lease Agreement
doctor's evaluation used to certify a disability in brazil,Medical/Disability Report
"account st@tement
ifsc code i09fba
opening balance 7682.18 closing balance 7682.18
branch name 78 andheri east mumbai",Bank Statement
"title document for a residentia1 or commercial property
survey number 446872900604 plot area",Property Documents
"wages tips other compcns@tion 5700.36
employer identificati0n number 235359
year to d@te gross 2158.03",Proof of Income
"número do cadúnic0 51120981
cadastro único para programas sociais
renda familiar 4028.99
número de identificação social nis 036745",CadÚnico Registration
"document used to prove current home address for an application
monthly rent 5936.74",Proof of Residency
"secretaria de segurança pública
filiação maria s0uza
c@rteira de identid@de",RG (ID)
"carteira dc trabalho e previdência social
ctps número 224022 série 224022
data de admissão 03/05/1973 
",Carteira de Trabalho
"letter verifying previous employment and job titles
employment history summary",Work History
"date  of birth as per school records 26/03/1962
age proof issued by 78 andheri east mumbai municipa1ity
certificate of age",Age Proof
"doctor-issued  assessment of physica1 or sensory impairment
medical board assessment 
",Disability Certificate
government issued personal identification number for benefits and tax purposes,Social Security Number
"this  letter confirms i live at this address and pay rent monthly
lease term begins 18/02/2005 ends 18/02/2005",Lease Agreement
"lease agreement between landlord and tenant
property address 12 main st springfield
residency verification letter",Proof of Residency
official  document confirming a person's disability f0r benefit purposes,Disability Certificate
"ifsc code a2j3j1
branch name 45 mg r0ad bengaluru
account statement",Bank Statement
"most recent paycheck stub used to verify currcnt income 
",Last Pay Stubs
"p@ssport or driving license used to verify identity 
",Government ID
"social security number 289396675119
socia1 security administration
this card belongs to maria souza
s0cial security card issued",Social Security Number
"saldo  de salário 948.08
trct
termo de rescisão do contrato de trabalho
data do aviso prévio 05/10/2020",Termo de Rescisão
"government issued personal identification number for benefits and tax purposes
social security card issued",Social Security Number
"trct
data do aviso prévio 10/03/1990
termo de rescisão do contrato de trabalho
saldo de salário 8516.60",Termo de Rescisão
"date of birth as per school records 20/04/1996
school le@ving certificate
certific@te of age",Age Proof
"date  of visit 25/05/1998
patient medical record
treatment summary disch@rge notes
attcnding physician priya nair
diagnosis rua das flores 88 sao paulo",Medical Records
"official  photo identification issued by a government agency
identification card issued by department of motor vehicles",Government ID
"gender  male
aadhaar no 592660520470
government of india unique identification authority of india
enrolment no 29626691
address: rua das flores 88 sao paulo
dob 12/11/2015",Aadhaar Card
"employee  id 5059141633
p@y period ending 01/08/2020
earnings statement
gross earnings 4863.10
federal tax state tax net pay 7675.53",Last Pay Stubs
a utility bill or letter showing where some0ne currently lives,Address Proof
brazilian document confirming the termination of an employment c0ntract,Termo de Rescisão
document confirming a household falls below the poverty line,BPL Certificate
"unique  identification number issued t0 indian residents by uidai
dob 27/11/2009",Aadhaar Card
recent  earnings statement from an employer showing pay and deductions,Last Pay Stubs
"registered  document n0 2161373556
property situated at 300 lakeview ave chicago
this indenturc made between",Property Documents
"dis@bility  type: locomotor/visual/hearing
percentage 0f disability 8%
udid number 556695
medical board assessment",Disability Certificate
"s@le deed
property situatcd at ru@ d@s florcs 88 5ao paulo
survey number 132387002237 plot are@
title deed of ownership
this indenture made between",Property Documents
national  health card used to access public healthcare services in brazil,Cartão Nacional de Saúde
"branch name 300 lakcview ave chicago
st@tement period 03/12/1961 to 03/12/1961
account statement
opening balance 3926.47 closing balancc 3926.47",Bank Statement
"monthly rent 1327.75
property address 78 andheri east mumbai
rcsidcncy verification 1etter
utility bill service address 12 main st springfield
lease agrcement between landlord and tenant",Proof of Residency
"contract between a l@ndlord and tenant for renting a property
landlord john silva tenant john silva",Lease Agreement
"this letter confirms i live at this address @nd pay rent monthly
lease term begins 16/08/1978 ends 16/08/1978",Lease Agreement
"nome do usuário vikr@m ra0
cartão nacional de saúde
númcro do cartão 82103491
5istema único de saúde sus",Cartão Nacional de Saúde
"data de admissão 27/05/1977
carteira de trabalho e previdência social
ctps número 855740285736 séric 855740285736
c0ntrato dc trabalho",Carteira de Trabalho
"electricity or water bill showing a resident's address in brazil
comprovante de residência",Comprovante de Residência
"unique  identification number issued to indian residents by uidai
aadhaar no 029725",Aadhaar Card
"identification  card issued by department of motor vehicles
driving license numbcr 27488707
valid until 15/06/1980
photo identification document
passport no 4808635939",Government ID
paystub listing sa1ary breakdown for the pay period,Income Proof
"documcnt used to c0nfirm how old a person is
certific@te of age",Age Proof
"attending  physician priya nair
diagnosis 12 main st springfield
date of visit 06/03/1971
treatmcnt summary discharge notes
patient medic@l rec0rd",Medical Records
legal paperwork proving who owns a piece of land or a house,Property Documents
"utility bill service address 12 main st springfield
propcrty address 221b baker street
residency verification letter
monthly rent 1816.20
lease agreement betwccn landlord @nd tenant 
",Proof of Residency
"residential lease agreement
lease term begins 17/10/1984 ends 17/10/1984
security deposit 8981.85
month1y rent due on the first of cach month 3114.83",Lease Agreement
"contract  between a landlord and tenant for rcnting a property
monthly rent due on the first of each month 985.52",Lease Agreement
"brazilian medical rcport assessing degree of disability
percentual de incapacidade 57%",Medical/Disability Report
"carteira  de trabalho e previdência social
ctps número 421457 série 421457
contrato de trabalho
data de admissão 08/09/1972",Carteira de Trabalho
"idcntification card issued by department of motor vehicles
photo identification document
driving license number 6505721589
valid until 11/05/1983
passport no 5666071807",Government ID
"nomc  do usuário sarah johnson
número do cartã0 211596606497
cartão nacional de saúde
ministério da saúde
sistema único de saúde sus",Cartão Nacional de Saúde
"category bpl/apl
rati0n card no 5831231949
public distribution system
state food civil supp1ics dep@rtment
fair price shop",Ration Card
"utility  conncction valid for 78 andheri east mumbai
consumer number 599583
proof of residence
billing address rua das flores 88 sao paulo
electricity bill
residential certificate issued to sarah johnson",Address Proof
"addrcss:  78 andheri east mumbai
aadhaar no 19654012
gender male",Aadhaar Card
"document listing all fami1y members eligible for subsidized r@tions 
",Ration Card
"carteira de identidade
registro geral
rg número 54977186
secretaria de segurança pública 
",RG (ID)
"social  security number 87728986
s0cial security card issued
this card belongs to priya n@ir
socia1 security administration",Social Security Number
"brazilian  taxpayer registration number issued by rcceita federal
cpf númcro 778191012428",CPF
"this card belongs to jamcs carter
social security number 609109283209
social security administration",Social Security Number
"shows gross carnings and net amount paid to an employee
pay period 27/03/1969",Income Proof
"percentage 0f disability 86%
medic@l board assessment
disability type: locomotor/visual/hearing",Disability Certificate
"account  statement
account number 814677
statement period 05/01/2003 to 05/01/2003
opening ba1ance 1911.00 closing balance 1911.00",Bank Statement
"municipal corporation birth registry
this is to certify that vikram rao was born on 22/01/1983
rcgistration no 0984148795 
",Birth Certificate
"filiaçã0 anita desai
carteira de identidade
registro geral
secretaria dc segurança pública
rg número 837621044225",RG (ID)
"official brazilian id card issued by public security department
sccret@ria de segurança pública 
",RG (ID)
"carteira  de trabalho e previdência social
data de admissão 27/06/1999
ctps número 893081 série 893081
contrato de trabalho",Carteira de Trabalho
"issucd by tehsi1dar office
income certificate no 931593838625
has an annua1 income of rs 7905.96
certificate of annual income
v@lid for one ye@r from date of issue
this is to certify that mr/mrs vikram rao",Income Certificate
"recent  e@rnings statement from an employer showing pay and deductions 
",Last Pay Stubs
"pl@cc  0f birth 12 main st springfield
this is to certify that carlos rodrigues was born on 10/12/2023
registrati0n no 901779424704
sex male/female",Birth Certificate
"category  bpl/apl
public distribution system
ration card no 671346549258
card type: ab0ve poverty line",Ration Card
"rcntal  agreement or bill confirming where s0meone lives
residency verification letter",Proof of Residency
"unique identificati0n number issued to indian residents by uidai
govcrnment of india unique identification authority of india",Aadhaar Card
"bpl  card holdcr j0hn silv@
below poverty line certificate
issued by gram panchayat office
family income below poverty line threshold
bpl 5urvey no 738707",BPL Certificate
"contrato de trabalho
data de admissão 14/04/1960
ctps número 41791762 série 41791762
carteira de trabalh0 e previdência social",Carteira de Trabalho
"official mail used to verify where you rcside
consumer number 258077",Address Proof
"certificate of age
school leaving certificate
age proof issued by 45 mg road bengaluru municipality
date of birth as per sch0ol records 01/08/1987",Age Proof
"this  card belongs to rohan mehta
social security numbcr 703939
social security administration
social security card issued",Social Security Number
"national health card used to access public healthcare services in brazil
ministério da s@úde",Cartão Nacional de Saúde
"rental agreement or bill confirming where someone lives
monthly rent 2778.31",Proof of Residency
certificate confirming household income for the past year,Income Certificate
"form w-2 wage and tax statement
employer identification number 5140397943
wages tips other compensation 4372.79",Proof of Income
"percentage  0f disability 100%
certificate of disability
issued by district hospital",Disability Certificate
"school  record or certificate showing date of birth for @ge verification
age proof issucd by rua das flores 88 sao paulo municipality",Age Proof
"single registry number used to apply for brazilian social benefits
número do cadúnico 2144108185 
",CadÚnico Registration
government issued personal identification number for benefits and t@x purposes,Social Security Number
brazilian g0vernment registry for low-income families sceking social programs,CadÚnico Registration
registered deed transferring ownership of real estate,Property Documents
"official document stating a person's yearly earnings issued by a revenue officer 
",Income Certificate
"earnings statement
pay period ending 12/01/2004
employee id 493228
federa1 tax state tax net pay 8117.90
gross earnings 7851.35",Last Pay Stubs
government-issued  proof of annual family income,Income Certificate
a  utility bill or lctter showing where someone currently lives,Address Proof
"issued  by gr@m panchayat 0ffice
below poverty line certificate
family income below poverty line threshold 
",BPL Certificate
"municip@l corporation birth registry
placc of birth 221b baker street
this is to certify that rohan mehta was born on 24/12/1991
sex male/femalc
registration no 6179105907
certificate of birth",Birth Certificate
"electricity or water bill showing a resident's address in brazil
conta de luz endereço 78 andheri east mumbai",Comprovante de Residência
"wages tips other compensation 5067.77
year to date gr0ss 9543.00
employer idcntification number 663586377902
fedcral income tax withheld 4929.17",Proof of Income
"government document confirming date and p1ace of birth
sex male/female 
",Birth Certificate
"dob 09/05/1975
aadhaar no 868155
government of indi@ unique identification authority of india
enrolment no 374567
address: 12 main st springfield
uidai मेरा आधार मेरी पहचान",Aadhaar Card
"monthly rent due on the first of each month 931.65
landlord rohan mehta tenant rohan mehta
lease term begins 28/06/2013 ends 28/06/2013
security deposit 7409.06 
",Lease Agreement
"this  is to ccrtify that sarah johnson was born on 15/02/1996
registration no 65248540
sex male/female
place of birth 12 main st springfield
municipal corporation birth registry",Birth Certificate
"net  payablc 5021.14
gross pay 2993.28
salary 5lip for the month of marco
employee n@me fernanda lima
b@sic salary hra dcductions",Income Proof
"government issued personal identification number for bencfits and tax purposes
social security number 768241628010",Social Security Number
"valid until 12/04/2005
driving license number 44094239
identification card issued by dep@rtment 0f motor vehicles
passp0rt no 935284793600
photo identificati0n document 
",Government ID
"official  photo identification issued by a government agency
identification card issued by department 0f motor vehicles",Government ID
rental agreement or bill confirming where someone lives,Proof of Residency
"employee name priya n@ir
pay period 12/02/1995
net payable 2327.89",Income Proof
"issued by district hospital
disability type: locomotor/visual/hearing
udid number 9071380112 
",Disability Certificate
"document  listing all family members eligiblc for subsidized rations
5tate food civil supplies department",Ration Card
"basic  salary hra deductions
employee name maria souza
pay period 08/10/2014
gross pay 2738.87
s@lary slip for the month of apri1",Income Proof
"state  food civil supplies department
ration card no 6520816024
category bpl/apl
card type: above poverty line
public distribution system",Ration Card
"title decd of ownership
sale deed
property situated at rua das flores 88 sao paulo
this indenturc m@de bctween
survey number 288227 plot area
registcred document no 984772943582",Property Documents
"data  do avis0 prévio 17/07/1980
sald0 de salário 2809.27
trct
tcrmo de rescisão do contrat0 de trabalh0",Termo de Rescisão
"document used to provc current h0me address for an application
utility bill service address 12 main st springfield",Proof of Residency
"ifsc code d7jbf4
branch name 12 main st springfield
opening balance 3450.85 closing 8alance 3450.85
account number 4681049729
statement period 28/02/2003 to 28/02/2003
account statement",Bank Statement
"c@dastro de pessoas físicas
nome completo vikram rao
data de nascimento 21/02/1997",CPF
"official severance paperwork issued when a job ends in brazil
termo de rescisão do contrato de trabalho",Termo de Rescisão
"brazilian utility bill used as proof of address
companhia de energia elétrica 
",Comprovante de Residência
"laudo médico
avaliação de dcficiência
percentual de incap@cidade 77%
médico responsável fernanda lima
cid 6b9a8h",Medical/Disability Report
"lease agreement between landlord and tenant
property address 300 lakeview ave chicago
residency verificati0n letter
m0nthly rent 2705.76
utility bill service address 300 lakeview ave chicago 
",Proof of Residency
document confirming a household falls below the poverty line,BPL Certificate
registered birth record issued by a municipa1 authority,Birth Certificate
"single registry number used to apply for brazilian social benefits
renda familiar 7577.95",CadÚnico Registration
"branch name 78 andheri east mumbai
account number 059489383291
ifsc code 329f27",Bank Statement
"this card shows my sus number for the brazilian public health system
nomc do usuário carlos rodrigues",Cartão Nacional de Saúde
"data de nasciment0 04/05/1972
receita federal do brasil
nome completo fcrnanda lima
cpf númer0 08284512
cad@stro de pessoas físicas",CPF
"companhia de energia elétrica
conta de luz endereço rua das flores 88 sao paulo
fatura referente ao mês janeiro",Comprovante de Residência
"tcrmo de rescisão do contrato de tr@balho
trct
saldo de salário 7984.26
data do aviso prévio 02/04/2007 
",Termo de Rescisão
"document confirming a person's current residcntial address
utility connection valid for 12 main st springfield",Address Proof
"brazilian government registry for low-income families seeking social programs
cadastro único para programas sociais",CadÚnico Registration
"brazilian  taxpayer rcgistration number issued by receita federal
data de nascimento 26/08/2003",CPF
"branch name 300 lakeview ave chicago
ifsc code 1hh1bb
account number 72346173
statement period 05/05/2000 to 05/05/2000
opening balance 6596.99 closing balance 6596.99",Bank Statement
documcnt confirming a person's current residential address,Address Proof
"0fficial severance paperwork issued when a job ends in brazil
trct",Termo de Rescisão
"residency  verificati0n letter
lease agreement between landlord and tcnant
month1y rent 9136.08",Proof of Residency
"ctps número 636295 5érie 636295
data de admissão 24/11/2010
carteira de trabalho e previdência social
contrato de trabalho",Carteira de Trabalho
"renda  famili@r 563.09
número de identificação s0cial ni5 27579450
cadastro único par@ programas sociais 
",CadÚnico Registration
"brazilian  government registry for l0w-income families seeking social programs
renda familiar 5893.00",CadÚnico Registration
"saldo de salário 712.55
termo de rescisão do contrato de trab@lho
data do aviso prévio 23/08/2022
trct 
",Termo de Rescisão
"government  certification of low-income family status
family income below poverty line threshold",BPL Certificate
"valid for one year from date of issue
issued by tehsildar office
h@s an annual income of rs 5829.49
this is to certify that mr/mrs james c@rtcr
income certificatc no 169429",Income Certificate
this letter confirms i live at this address and pay rent monthly,Lease Agreement
"income certificate no 4681177190
certificate of annual income
has an annual income of rs 6411.93
this is to certify that mr/mrs james carter
valid for one year from date of issue",Income Certificate
"cadastro  único para programas sociais
renda familiar 6810.06
número do cadúnico 5052572714
número de identificação social nis 832283225947 
",CadÚnico Registration
"lease term begins 02/07/2020 ends 02/07/2020
residential lease agreement
landlord priya nair tenant priya nair
security deposit 1355.54
m0nthly rent due 0n the first of each month 5648.84",Lease Agreement
"landlord john silva ten@nt john silva
monthly rent duc on the first of cach month 2210.74
security deposit 9779.76
lease term begins 17/04/1975 ends 17/04/1975
residential leasc agreement",Lease Agreement
"cartão naciona1 de saúde
nome do usuário anit@ desai
número do cartão 5355366717",Cartão Nacional de Saúde
"número do cadúnico 98586442
cadastr0 único para programas sociais
renda famili@r 367.13
número de identificação social nis 28201601",CadÚnico Registration
"rcgistration  no 051327792345
certificate of birth
p1ace of birth 300 lakeview ave chicago
sex male/fcmale
this is to certify that vikram rao was born on 08/01/1990",Birth Certificate
"social  security number 55277147
social security card issued
socia1 security administration
this card belongs to vikram rao 
",Social Security Number
"valid until 17/09/1962
photo identification document
passport n0 298004814343
driving license number 601773",Government ID
"printed record of account balance issued by a financial institution 
",Bank Statement
"registered deed transferring ownership 0f real estate
this indenturc made between",Property Documents
"cadastro  dc pessoas físicas
reccita federal do brasil
data de n@scimento 17/11/2009 
",CPF
"v@lid until 27/10/2006
passport no 078367969291
photo identification document
driving license number 9638933472",Government ID
"clinical notes from a doctor's visit or hospital st@y
date of visit 20/02/1961",Medical Records
"security  deposit 8568.62
lease term begins 13/05/1976 ends 13/05/1976
landlord vikram rao tenant vikram rao
m0nthly rent due on the first of each month 9371.14
rcsidential lease agreement",Lease Agreement
"passport or driving license used to verify identity
passport no 1270876861",Government ID
"cid  b7123j
avaliação de deficiência
laudo médico",Medical/Disability Report
"opening balance 7059.41 closing balance 7059.41
branch name 221b baker street
account number 66477864",Bank Statement
document showing monthly take-home pay and deductions from an employer,Income Proof
"certificate of age
school leaving certificate
date of birth as per schoo1 records 06/06/1960
age proof issued by ru@ das flores 88 sao paulo municipality",Age Proof
"udid  numbcr 91783765
pcrcentage of disability 85%
medical board assessment",Disability Certificate
"cadastro de pessoas físicas
receit@ federal do brasil
data de nascimento 15/01/1982
cpf número 51103523
nome completo james carter",CPF
"electricity  bill
proof of residence
rcsidential certificate issued to john silva",Address Proof
document  listing all family members eligible for subsidized rations,Ration Card
"official  work permit documcnt used in brazil for formal employmcnt
carteira de trabalho e prcvidência social",Carteira de Trabalho
official record of when and where a person was born,Birth Certificate
national health card used to access public healthcare services in brazil,Cartão Nacional de Saúde
"public distribution system
fair price 5hop
category bpl/apl
family members 10
r@tion card no 2831096247
card type: above poverty line 
",Ration Card
"earnings  statement
pay period ending 11/01/1986
emp10yee id 203719
gross earnings 837.61
federa1 tax state tax net pay 9453.65",Last Pay Stubs
"cadastro único para programas 5ociais
númer0 de identificação social nis 176172
númcro do cadúnico 881696383900
renda familiar 5463.18 
",CadÚnico Registration
"registered birth record issued by a municipal authority
place of birth 221b baker street",Birth Certificate
brazilian  taxpayer registration number issued by receita federal,CPF
"federal  tax statc tax net pay 8702.27
earnings statement
gross earnings 2906.58
employee id 104416
pay period ending 14/08/1985 
",Last Pay Stubs
"card type: above poverty line
public distribution system
state food civil supplies department
fair pricc shop
family members 75",Ration Card
"avaliação de deficiência
laudo médico
cid h72g47
médico rcsponsável james cartcr 
",Medical/Disability Report
"social  security card issued
socia1 security number 517394254578
social security administration
this card bel0ngs to priya nair",Social Security Number
"dates of employment 17/08/1988 to 17/08/1988
empl0yment history summary
work history vcrification letter
employer roh@n mehta position 221b baker street",Work History
"le@se agreement bctween landlord and tenant
property address 45 mg road bengaluru
residency vcrification letter
monthly rent 7463.33",Proof of Residency
"contrato  de trabalho
carteira de trabalho e previdência social
ctps número 6655942016 série 6655942016
data de admissão 22/06/1978 
",Carteira de Trabalho
"cid g1f0h5
pcrcentual de incapacidade 20%
médico responsável carlos rodrigues
avaliação de dcficiência
laudo médico",Medical/Disability Report
government  certification of low-income family status,BPL Certificate
"certificate confirming household income for the past year 
",Income Certificate
"ration  c@rd no 93087227
fair price shop
card typc: above p0verty line
category bpl/apl",Ration Card
"employer anita desai position 12 main st springfie1d
work history verification letter
employment hist0ry summ@ry
dates of employment 19/01/2003 to 19/01/2003",Work History
"state food civil supp1ies department
fair price sh0p
category bpl/apl 
",Ration Card
"cadastro de pessoas físicas
receita fcderal do brasil
data de nasciment0 08/07/1973
cpf número 462051286190
nome completo fern@nda lima",CPF
"individual  t@x id document used for financial transactions in brazil
c@dastro de pessoas físicas",CPF
"clinical notes from a doctor's visit or hospital stay 
",Medical Records
official document confirming @ person's disability for benefit purposes,Disability Certificate
"individual tax id document used for financial transactions in brazil
receita federal do brasil 
",CPF
recent earnings statement from @n employer showing pay and deductions,Last Pay Stubs
hospital discharge summary with diagnosis and treating doctor name,Medical Records
"monthly  summary of deposits withdrawals and balance from a bank account
account number 912526",Bank Statement
electricity or water bill sh0wing a resident's address in brazil,Comprovante de Residência
"diagnosis  rua das flores 88 sao paulo
patient medical record
treatment summary discharge notes",Medical Records
"conta  de luz endereço 45 mg road bengaluru
fatura referente ao mês m@y
companhia de energia elétrica 
",Comprovante de Residência
"account number 683281022075
ifsc c0de 1ch758
statement period 19/04/1996 to 19/04/1996
account statement
opening balance 3406.63 c1osing 8alance 3406.63
branch name 78 andheri east mumbai 
",Bank Statement
"document showing monthly take-home pay and deductions from an employer 
",Income Proof
legal paperwork proving who owns a piece of land or a house,Property Documents
"billing address 78 andheri east mumbai
proof of residence
consumer number 586930",Address Proof
"salary  slip for the month of march
net payable 8295.28
pay period 12/11/2014",Income Proof
certificate  confirming h0usehold income for the past year,Income Certificate
"statement period 23/08/2011 to 23/08/2011
account 5tatement
opening balance 4059.16 closing balance 4059.16
account number 498457",Bank Statement
"driving  license number 807657
photo identification document
valid until 01/01/1992
passport n0 06786729
identification card issued by department of motor vehicles 
",Government ID
"employee id 79410954
gross earnings 2006.56
federal tax statc tax net pay 1474.90
pay period ending 21/09/1994",Last Pay Stubs
"letter verifying previous employment and job titles 
",Work History
"identification  card issued by department of motor vehicles
photo identification document
driving license number 6106604582
valid until 04/07/1989
passport no 859522060717",Government ID
"property  address rua das flores 88 sa0 paulo
monthly rent 7540.30
lease agreement between landlord and tenant
utility bill service address 221b baker street",Proof of Residency
letter verifying previous employment and job titles,Work History
"treatment  summary discharge notes
diagnosis rua das flores 88 sao paulo
patient mcdical record
attending physici@n sarah j0hnson",Medical Records
government document confirming date and place of birth,Birth Certificate
"official mail used to verify where you reside 
",Address Proof
"attending physician rohan mehta
date of visit 13/11/2004
diagnosis 78 andheri east mumbai 
",Medical Records
transaction history showing account activity over a period,Bank Statement
"soci@l security card issued
social security number 864319
social security administration",Social Security Number
"brazilian government registry f0r low-income families seeking social programs
cadastro único para programas sociais",CadÚnico Registration
"property  address 300 lakeview ave chicago
utility bill service address 300 lakeview ave chicago
monthly rent 3453.05
lease agreement between landlord and tenant
residency verific@tion letter",Proof of Residency
"nome  complcto maria souza
receita federal do brasil
cpf número 599020
cadastr0 de pessoas físicas
data de nascimento 04/11/1964",CPF
"year to date gross 9900.65
pay stub earnings statcment
form w-2 wage and tax st@tement
federal income tax withheld 3537.82
wages tips other compensati0n 1747.34 
",Proof of Income
"lease term begins 11/12/1983 ends 11/12/1983
security deposit 723.99
residential le@se agreement
l@ndlord vikram rao tenant vikram rao",Lease Agreement
"federal tax state tax net pay 885.33
pay period ending 07/08/1996
gross earnings 5062.32
earnings statement
empl0yee id 82452895",Last Pay Stubs
"title document for a residential or commercial property
registered document no 09977129",Property Documents
"termo de rescisão do contrato de trabalho
saldo de salário 6332.57
trct
data do aviso prévio 05/11/1990",Termo de Rescisão
"consumer number 300430018274
billing address rua das flores 88 sao pau1o
pr0of 0f residence",Address Proof
"doct0r-issued assessment of physical or sensory impairment
certificate of disability 
",Disability Certificate
"cartão  nacional de saúde
ministério da saúde
nome do usuário james carter
sistema único de saúdc sus
número do cartão 41065765",Cartão Nacional de Saúde
annual wage statement issued by an employer for tax filing,Proof of Income
"social  security card issued
social security administration
social security number 22280360",Social Security Number
"renda  familiar 765.34
número de identificação social nis 93148660
cadastro único para programas 50ciais",CadÚnico Registration
letter  verifying previous employment and j0b titles,Work History
rental contract specifying m0nthly rent and lease term,Lease Agreement
"dates of employment 05/08/1991 t0 05/08/1991
employmcnt history summary
employer maria souza position 12 main st springfield
work history verification lctter",Work History
"cid e005f9
médico resp0nsável maria souza
avaliação de deficiência
pcrcentual de incapacidade 96%",Medical/Disability Report
"this  card belongs to james carter
social security administration
social security card issued
social security number 5251207236",Social Security Number
"percentual de incapacidade 45%
cid 92bi2h
avaliação de deficiência
médico responsável vikram rao
laudo médico 
",Medical/Disability Report
"ifsc code 0b5ehf
account number 8949678471
branch name 12 main st springfield",Bank Statement
government issued personal identification number for benefits and tax purposes,Social Security Number
officia1  photo identification issued by a government agency,Government ID
"date of birth as per school records 12/09/1989
certificate of age
school leaving certificate
age proof issued by 12 main st springfield municipality",Age Proof
"title dced of ownership
5urvey number 45798458 plot area
property situated at 221b baker street
sale deed
registered documcnt no 72540690
this indenture made between 
",Property Documents
"residential lease agreement
lease term begins 27/06/1988 ends 27/06/1988
landlord sarah johnson tenant sarah johns0n
monthly rent due on the first of each month 7195.38
security deposit 2952.36",Lease Agreement
"utility bill service address 12 main st springfield
lcase agreement between landlord and tenant
monthly rent 713.28
residency verification letter
property address 12 main st springfield",Proof of Residency
document  confirming a household falls below the poverty line,BPL Certificate
"federal income tax withheld 4865.66
year to date gross 2486.14
form w-2 wage and tax statement
employer identification number 54898023
wagcs tips other compensation 4312.40
pay stub earnings st@tement",Proof of Income
"dat@ de admissão 06/09/1980
contrato de trabalho
carteira de trabalho e previdência social
ctps número 6224119464 série 6224119464",Carteira de Trabalho
